Ls;Modulo;Fase(grado);R;L;C;Q;D;;;;;;;X;;
10;0,893;3,7;0,89;9,10E-04;-0,28;0;15,5;;;;;;;0,058;;
20;0,898;7,6;0,89;9,50E-04;-6,70E-02;0;7,5;;;;;;;0,118;;
30;0,909;11,4;0,891;9,50E-04;-3,00E-02;0;5;;;;;;;0,18;;
40;0,923;15;0,891;9,50E-04;-1,66E-02;0;3,72;;;;;;;0,24;;
50;0,94;18,6;0,891;9,60E-04;-1,06E-02;0;2,98;;;;;;;0,3;;
60;0,962;22;0,892;9,50E-04;-7,39E-03;0;2,48;;;;;;;0,36;;5,42E-03
70;0,985;25,2;0,892;9,55E-04;-0,00542;1;2,12;;;;;;0,42;;4,15E-03;
80;1,012;28,3;0,892;9,55E-04;-0,00415;1;1,86;;;;;;0,48;;3,28E-03;
90;1,043;31,2;0,892;9,55E-04;-0,00328;1;1,654;;;;;;0,54;;1,07E-04;
500;3,116;73;0,916;9,48E-04;-0,000107;3;0,307;;;;;;2,98;;2,68E-05;
1,00E+03;6;81;0,95;9,45E-04;-0,0000268;6;0,159;;;;;;5,94;;6,70E-06;
2,00E+03;11,87;85;1;9,41E-04;-0,0000067;11,8;0,0847;;;;;;11,83;;3,00E-06;
3,00E+03;17,7;86,56;1,05;9,49E-04;-0,000003;16,8;0,0596;;;;;;17,7;;1,10E-06;
5,00E+03;29,45;87,7;1,15;9,37E-04;-0,0000011;25,7;0,039;;;;;;29,4;;5,50E-07;
7,00E+03;41;88;1,24;9,35E-04;-0,00000055;33;0,03;;;;;;41,1;;2,70E-07;
1,00E+04;58,6;88,6;1,38;9,33E-04;-0,00000027;42,5;0,023;;;;;;58,6;;1,20E-07;
1,50E+04;88;89;1,6;9,30E-04;-0,00000012;54;0,018;;;;;;87,7;;4,37E-08;
2,50E+04;1,46E+02;89;2;9,26E-04;-4,37E-08;69,4;0,014;;;;;;1,46E+02;;1,10E-08;
5,00E+04;2,90E+02;89;3,60E+00;9,22E-04;-0,000000011;80;0,012;;;;;;2,90E+02;;4,90E-09;
7,50E+04;4,30E+02;89;5,50E+00;9,20E-04;-4,9E-09;79,3;0,0126;;;;;;4,30E+02;;2,80E-09;
1,00E+05;5,80E+02;89;8,10E+00;9,20E-04;-2,8E-09;71,5;0,014;;;;;;5,80E+02;;6,80E-10;
2,00E+05;1,16E+03;88,9;2,20E+01;9,24E-04;-6,8E-10;52;0,019;;;;;;1,16E+03;;3,00E-10;
3,00E+05;1,76E+03;88,6;4,10E+01;9,33E-04;-3E-10;42,6;0,0235;;;;;;1,76E+03;;1,04E-10;
5,00E+05;3,00E+03;88,3;8,70E+01;9,70E-04;-1,04E-10;35;0,028;;;;;;;;4,17E-11;
7,50E+05;5,08E+03;88;1,60E+02;1,08E-03;-4,17E-11;30,9;0,032;;;;;;;;1,98E-11;
1,00E+06;8,04E+03;87,7;3,12E+02;1,28E-03;-1,98E-11;25,8;0,039;;;;;;;;1,49E-11;
1,10E+06;9,70E+03;87,49;4,20E+02;1,40E-03;-1,49E-11;23;0,043;;;;;;;;1,10E-11;
1,20E+06;1,19E+04;87,1;5,90E+02;1,58E-03;-1,1E-11;20;0,049;;;;;;;;8,00E-12;
1,30E+06;1,50E+04;86,6;8,70E+02;1,80E-03;-8E-12;17;0,058;;;;;;;;6,00E-12;
1,40E+06;1,90E+04;85,8;1,40E+03;2,20E-03;-6E-12;14;0,07;;;;;;;;4,00E-12;
1,50E+06;2,60E+04;84,5;2,50E+03;2,80E-03;-4E-12;10;0,09;;;;;;;;2,50E-12;
1,60E+06;4,00E+04;82;5,60E+03;4,00E-03;-2,5E-12;7;0,14;;;;;;;;1,00E-12;
1,70E+06;7,60E+04;75;1,96E+04;6,90E-03;-1E-12;3,8;0,26;;;;;;;;8,00E-13;
1,80E+06;2,81E+05;21;2,50E+05;9,00E-03;-8E-13;0,4;2,56;;;;;;;;9,50E-13;
1,73E+06;1,02E+05;70;3,50E+04;8,89E-03;-9,5E-13;2,8;0,36;;;;;;;;6,90E-13;
1,76E+06;1,50E+05;60;7,60E+04;1,18E-02;-6,9E-13;1,7;0,58;;;;;;;;;
1,83E+06;2,60E+05;-30,8;2,20E+05;-1,19E-02;6,30E-13;0,6;1,6;;;;;;;;;
1,86E+06;1,60E+05;-58;8,50E+04;-0,0118;6,20E-13;1,6;0,63;;;-0,0118;;;;1,18E-02;;
1,90E+06;1,00E+05;-70;3,20E+04;-0,008;8,80E-13;2,9;0,34;;;-0,008;;;;8,00E-03;;
2,00E+06;5,02E+04;-80;8,00E+03;-0,004;1,60E-12;6;0,16;;;-0,004;;;;4,00E-03;;
2,20E+06;2,50E+04;-85;2,00E+03;-0,0018;2,80E-12;12;0,08;;;-0,0018;;;;1,80E-03;;
3,00E+06;9,60E+03;-88;3,00E+02;-0,0005;5,50E-12;31;0,03;;;-0,0005;;;;5,00E-04;;
5,00E+06;4,00E+03;-89;7,00E+01;-0,00013;7,50E-12;59;0,17;;;-0,00013;;;;1,30E-04;;
1,00E+07;1,90E+03;-89;2,50E+01;-0,00003;8,00E-12;76;0,013;;;-0,00003;;;;3,00E-05;;
